X,Y,field_1,cat,x,y,z,slope,distance,label
488270.857872159,788873.269368043,46,194,488270.857872158987448,788873.269368043052964,165.000000000000000,0.430382300000000,38782.991241741423437,-1
-786700.196743474,787873.461968208,47,195,-786700.196743473992683,787873.461968207964674,176.000000000000000,0.000000000000000,942118.239657045691274,-1
-672702.78480137,787873.461968208,48,196,-672702.784801369998604,787873.461968207964674,271.000000000000000,0.310095800000000,851996.801858980092220,-1
-368709.686289094,786873.654568374,50,199,-368709.686289093981031,786873.654568374040537,268.000000000000000,0.109093100000000,624909.778435125597753,-1
-352710.04952529,786873.654568374,51,200,-352710.049525289970916,786873.654568374040537,320.000000000000000,0.346454600000000,614764.281010387232527,-1
-825699.311355246,785873.847168539,52,205,-825699.311355245998129,785873.847168538952246,176.000000000000000,0.000000000000000,972974.495980787090957,-1
-734701.377261111,785873.847168539,53,206,-734701.377261111047119,785873.847168538952246,212.000000000000000,0.073040170000000,899122.833099243813194,-1
-637703.579380549,785873.847168539,54,207,-637703.579380549024791,785873.847168538952246,242.000000000000000,0.064062230000000,823206.599032281548716,-1
-563705.259347955,785873.847168539,55,208,-563705.259347954997793,785873.847168538952246,188.000000000000000,0.077140320000000,764186.877533375052735,-1
-324710.685188633,785873.847168539,56,209,-324710.685188632982317,785873.847168538952246,369.000000000000000,0.104283500000000,596824.778066172730178,-1
-299711.252745189,785873.847168539,57,210,-299711.252745189005509,785873.847168538952246,394.000000000000000,0.501391200000000,582213.853552956948988,-1
-588704.691791399,784874.039768704,59,215,-588704.691791399032809,784874.039768703980371,188.000000000000000,0.115500600000000,783232.099088007351384,-1
-432708.23334431,784874.039768704,60,216,-432708.233344310021494,784874.039768703980371,176.000000000000000,0.000000000000000,666354.127823669929057,-1
-549705.577179627,783874.23236887,65,223,-549705.577179627027363,783874.232368870056234,198.000000000000000,0.045304240000000,752050.693266216781922,-1
293275.284813297,783874.23236887,67,226,293275.284813296981156,783874.232368870056234,91.000000000000000,0.504627500000000,219660.075436430401169,-1
399272.878373499,783874.23236887,69,228,399272.878373499028385,783874.232368870056234,427.000000000000000,0.474772500000000,119106.607645429321565,-1
-764700.696193243,782874.424969035,70,229,-764700.696193243027665,782874.424969034967944,176.000000000000000,0.000000000000000,921359.618634037091397,-1
-701702.126435765,782874.424969035,71,230,-701702.126435764948837,782874.424969034967944,274.000000000000000,0.328086700000000,871268.355114542646334,-1
-655703.170739829,782874.424969035,72,231,-655703.170739828958176,782874.424969034967944,301.000000000000000,0.263353100000000,835797.652323261951096,-1
-613704.124234843,782874.424969035,73,232,-613704.124234842951410,782874.424969034967944,224.000000000000000,0.059061050000000,802012.525687209330499,-1
-343710.25384565,782874.424969035,74,233,-343710.253845650004223,782874.424969034967944,344.000000000000000,0.157247400000000,606026.611321904347278,-1
